customer_id,recency,frequency,monetary_inr,gender,age,shopping_mall,segment
C308977,764,1,439.128,Male,29,Metropol AVM,1
C920699,201,1,56.48400000000001,Female,67,Mall of Istanbul,2
C208394,265,1,3240.864,Male,52,Kanyon,2
C285807,722,1,2430.648,Female,55,Metropol AVM,1
C329384,373,1,810.216,Male,34,Mall of Istanbul,2
C334376,686,1,810.216,Female,26,Mall of Istanbul,1
C169790,218,1,1620.432,Female,49,Viaport Outlet,2
C171912,623,1,219.564,Female,37,Kanyon,1
C146221,34,1,109.782,Female,55,Mall of Istanbul,2
C271977,402,1,14.121000000000002,Female,23,Kanyon,1
C328062,320,1,219.564,Female,19,Kanyon,2
C185441,538,1,6481.836,Female,69,Mall of Istanbul,0
C932248,80,1,56.48400000000001,Female,57,Istinye Park,2
C210285,472,1,439.128,Female,45,Metrocity,1
C296453,315,1,2430.648,Female,30,Istinye Park,2
C108087,545,1,31.671000000000003,Female,26,Mall of Istanbul,1
C315059,733,1,126.68400000000001,Female,39,Kanyon,1
C163620,534,1,70.605,Female,68,Zorlu Center,1
C120539,92,1,96.76800000000001,Female,54,Metropol AVM,2
C693443,480,1,2430.648,Female,44,Istinye Park,1
C244933,202,1,2430.648,Female,38,Mall of Istanbul,2
C336390,454,1,11340.0,Male,36,Kanyon,0
C273040,253,1,95.013,Male,57,Mall of Istanbul,2
C204184,570,1,3240.918,Male,20,Kanyon,1
C328412,526,1,4051.0800000000004,Male,48,Viaport Outlet,1
C294843,559,1,290.30400000000003,Female,52,Emaar Square Mall,1
C249123,743,1,548.9100000000001,Female,38,Mall of Istanbul,1
C194429,626,1,439.128,Female,29,Kanyon,1
C236719,560,1,4051.0800000000004,Female,44,Mall of Istanbul,1
C154551,340,1,1620.432,Male,27,Mall of Istanbul,2
C983589,194,1,126.68400000000001,Male,28,Metrocity,2
C674144,42,1,329.34600000000006,Female,48,Metrocity,2
C319122,481,1,1620.432,Female,64,Forum Istanbul,1
C191222,713,1,2430.648,Female,21,Emaar Square Mall,1
C283623,414,1,548.9100000000001,Male,28,Metropol AVM,1
C210199,194,1,14.121000000000002,Male,67,Kanyon,2
C212345,159,1,4861.377,Male,69,Mall of Istanbul,2
C917739,534,1,163.62,Female,48,Cevahir AVM,1
C280182,333,1,56.48400000000001,Female,50,Kanyon,2
C192050,54,1,329.34600000000006,Male,20,Kanyon,2
C205640,218,1,387.07200000000006,Female,49,Mall of Istanbul,2
C617189,107,1,439.128,Female,56,Mall of Istanbul,2
C190950,579,1,4861.377,Male,46,Mall of Istanbul,1
C273973,144,1,95.013,Female,36,Mall of Istanbul,2
C193586,180,1,8505.0,Female,46,Metrocity,0
C193315,209,1,548.9100000000001,Female,22,Metropol AVM,2
C874509,615,1,548.9100000000001,Male,41,Istinye Park,1
C283466,158,1,1620.459,Male,64,Istinye Park,2
C951648,111,1,1620.459,Female,68,Mall of Istanbul,2
C105660,119,1,4051.0800000000004,Female,26,Forum Istanbul,2
C417440,372,1,8102.295,Female,56,Metrocity,0
C101917,454,1,329.34600000000006,Male,32,Kanyon,1
C227082,309,1,3240.918,Female,48,Viaport Outlet,2
C132302,570,1,810.216,Male,53,Kanyon,1
C444165,531,1,4861.377,Female,32,Metrocity,1
C322871,358,1,4051.0800000000004,Female,38,Emaar Square Mall,2
C470532,697,1,3240.864,Male,27,Metropol AVM,1
C275067,151,1,63.342000000000006,Female,28,Cevahir AVM,2
C116715,661,1,126.68400000000001,Female,45,Metropol AVM,1
C196050,384,1,28.242000000000004,Male,63,Mall of Istanbul,2
C170581,457,1,810.216,Male,30,Metrocity,1
C679811,340,1,42.363,Male,22,Metrocity,2
C232157,261,1,387.07200000000006,Female,63,Viaport Outlet,2
C317414,456,1,126.68400000000001,Female,45,Mall of Istanbul,1
C216428,62,1,122.71500000000002,Male,45,Viaport Outlet,2
C365518,543,1,329.34600000000006,Female,21,Kanyon,1
C323837,455,1,40.905,Female,33,Emaar Square Mall,1
C204277,25,1,219.564,Male,51,Mall of Istanbul,2
C312534,263,1,8505.0,Male,41,Emaar Square Mall,0
C200395,670,1,8102.295,Female,48,Emaar Square Mall,0
C115848,654,1,56.48400000000001,Male,59,Kanyon,1
C339634,247,1,810.216,Female,61,Kanyon,2
C304357,183,1,14.121000000000002,Female,52,Kanyon,2
C284966,659,1,3240.864,Male,43,Viaport Outlet,1
C339794,455,1,810.216,Female,43,Zorlu Center,1
C310095,576,1,810.216,Male,55,Kanyon,1
C127815,329,1,6481.836,Female,49,Metrocity,0
C304504,75,1,2430.648,Male,42,Cevahir AVM,2
C770394,420,1,11340.0,Male,22,Kanyon,0
C587247,691,1,439.128,Female,41,Metrocity,1
C205855,467,1,28.242000000000004,Female,62,Kanyon,1
C306192,497,1,204.525,Female,55,Viaport Outlet,1
C272291,707,1,3240.918,Male,19,Kanyon,1
C207229,138,1,219.564,Male,59,Istinye Park,2
C140171,525,1,2430.648,Female,47,Cevahir AVM,1
C232989,36,1,3240.864,Male,22,Metropol AVM,2
C264972,87,1,8102.295,Male,29,Metropol AVM,0
C134822,534,1,109.782,Male,57,Forum Istanbul,1
C252164,600,1,95.013,Female,69,Kanyon,1
C295474,328,1,2430.648,Male,26,Metrocity,2
C729334,409,1,163.62,Female,50,Forum Istanbul,1
C369352,451,1,70.605,Male,57,Metropol AVM,1
C270449,660,1,1620.432,Female,44,Kanyon,1
C183093,89,1,3240.864,Male,30,Mall of Istanbul,2
C984560,447,1,4861.377,Male,62,Mall of Istanbul,0
C296979,604,1,5670.0,Male,40,Metropol AVM,0
C825355,579,1,28.242000000000004,Female,68,Emaar Square Mall,1
C240411,126,1,28.242000000000004,Female,24,Mall of Istanbul,2
C251484,44,1,6481.836,Male,29,Emaar Square Mall,0
C673066,41,1,548.9100000000001,Male,48,Kanyon,2
C152327,420,1,1620.432,Female,67,Zorlu Center,1
C338579,511,1,95.013,Female,55,Kanyon,1
C103021,660,1,329.34600000000006,Female,32,Forum Istanbul,1
C843458,463,1,31.671000000000003,Female,36,Istinye Park,1
C328974,204,1,1620.432,Male,28,Istinye Park,2
C123190,222,1,193.53600000000003,Female,33,Mall of Istanbul,2
C882648,90,1,28.242000000000004,Female,68,Mall of Istanbul,2
C157225,338,1,329.34600000000006,Male,56,Cevahir AVM,2
C143640,616,1,329.34600000000006,Female,56,Forum Istanbul,1
C121211,656,1,3240.864,Female,67,Mall of Istanbul,1
C118874,784,1,329.34600000000006,Female,33,Viaport Outlet,1
C977368,391,1,4051.0800000000004,Female,34,Kanyon,2
C232484,763,1,810.216,Female,29,Istinye Park,1
C309465,681,1,81.81,Female,45,Kanyon,1
C172738,228,1,163.62,Female,54,Mall of Istanbul,2
C328149,609,1,193.53600000000003,Male,64,Mall of Istanbul,1
C638965,413,1,70.605,Female,64,Istinye Park,1
C203969,744,1,548.9100000000001,Male,54,Mall of Istanbul,1
C858586,390,1,14.121000000000002,Female,67,Cevahir AVM,2
C224559,508,1,1620.432,Female,53,Metrocity,1
C593163,603,1,3240.918,Male,23,Viaport Outlet,1
C627115,311,1,4051.0800000000004,Female,51,Emaar Square Mall,2
C602885,284,1,1620.432,Female,23,Mall of Istanbul,2
C855227,521,1,3240.864,Male,27,Kanyon,1
C195731,532,1,810.216,Male,46,Kanyon,1
C900891,365,1,810.216,Female,48,Cevahir AVM,2
C940625,501,1,42.363,Male,38,Kanyon,1
C271515,331,1,810.216,Female,47,Kanyon,2
C201010,458,1,548.9100000000001,Female,59,Istinye Park,1
C289469,722,1,3240.864,Female,28,Zorlu Center,1
C176727,378,1,4861.377,Female,32,Kanyon,0
C105994,224,1,193.53600000000003,Female,33,Metropol AVM,2
C321413,51,1,1620.432,Female,19,Istinye Park,2
C644797,437,1,290.30400000000003,Female,51,Zorlu Center,1
C101947,75,1,8102.295,Male,40,Metrocity,0
C868498,38,1,4861.377,Female,58,Emaar Square Mall,2
C331245,576,1,2430.648,Female,32,Kanyon,1
C280742,168,1,3240.864,Female,27,Istinye Park,2
C255633,278,1,193.53600000000003,Male,33,Kanyon,2
C226390,289,1,96.76800000000001,Female,19,Zorlu Center,2
C101908,410,1,63.342000000000006,Female,41,Zorlu Center,1
C143628,486,1,219.564,Male,38,Cevahir AVM,1
C872743,568,1,3240.864,Female,60,Metrocity,1
C239979,280,1,8102.295,Male,43,Istinye Park,0
C156203,184,1,5670.0,Female,42,Istinye Park,0
C365876,238,1,2430.648,Female,23,Kanyon,2
C297804,362,1,109.782,Female,41,Mall of Istanbul,2
C187600,585,1,42.363,Male,60,Cevahir AVM,1
C169339,278,1,204.525,Female,26,Viaport Outlet,2
C173734,509,1,109.782,Male,20,Metrocity,1
C303949,564,1,439.128,Female,24,Kanyon,1
C208346,675,1,387.07200000000006,Male,28,Metropol AVM,1
C317043,488,1,4051.0800000000004,Male,22,Istinye Park,1
C299153,494,1,483.84,Female,58,Metrocity,1
C324845,686,1,4051.0800000000004,Male,48,Kanyon,1
C104416,235,1,193.53600000000003,Male,67,Metrocity,2
C132867,610,1,483.84,Female,19,Metrocity,1
C932710,335,1,96.76800000000001,Female,22,Kanyon,2
C406986,358,1,810.216,Male,45,Mall of Istanbul,2
C768173,159,1,1620.432,Male,63,Emaar Square Mall,2
C308596,14,1,70.605,Male,39,Viaport Outlet,2
C309978,440,1,439.128,Male,36,Metrocity,1
C778532,301,1,810.216,Male,41,Mall of Istanbul,2
C306559,534,1,2430.648,Female,22,Metropol AVM,1
C859464,594,1,3240.864,Male,50,Metrocity,1
C197207,93,1,70.605,Male,33,Metrocity,2
C864499,133,1,81.81,Female,60,Viaport Outlet,2
C238838,710,1,2430.648,Female,57,Metropol AVM,1
C140579,629,1,14.121000000000002,Male,68,Emaar Square Mall,1
C303103,539,1,548.9100000000001,Female,51,Istinye Park,1
C811398,206,1,70.605,Female,62,Cevahir AVM,2
C195844,528,1,109.782,Female,29,Emaar Square Mall,1
C346885,365,1,11340.0,Female,30,Metropol AVM,0
C115814,663,1,548.9100000000001,Male,24,Emaar Square Mall,1
C176753,737,1,2430.648,Female,19,Metropol AVM,1
C162790,123,1,810.216,Male,37,Zorlu Center,2
C119027,31,1,810.216,Male,65,Metrocity,2
C234351,79,1,28.242000000000004,Male,62,Emaar Square Mall,2
C599578,25,1,387.07200000000006,Female,30,Metrocity,2
C177930,65,1,95.013,Female,41,Metropol AVM,2
